Time s, Charge C, Error C
1.146, 393.862, 1.097
11.032, 139.212, 1.135
11.095, 128.766, 1.040
12.052, 89.032, 1.038
12.260, 121.146, 1.103
13.841, 124.338, 1.230
15.184, 118.155, 1.005
16.053, 75.717, 1.044
16.491, 77.169, 1.050
17.330, 77.556, 1.140
20.606, 45.696, 1.027
24.365, 28.732, 1.157
24.540, 29.994, 1.113
30.177, 19.453, 1.168
31.300, 15.256, 1.249
31.946, 15.029, 1.100
32.193, 14.368, 1.210
32.544, 22.737, 1.119
33.136, 20.635, 1.189
34.274, 12.391, 1.068
37.441, 10.881, 1.035
39.035, 8.061, 1.156
39.228, 7.029, 1.055
44.627, 2.773, 1.013
50.278, 1.806, 1.002
50.510, 2.387, 1.054
52.569, 1.462, 1.114
52.912, 1.613, 1.093
54.434, 1.172, 1.029
59.619, 0.792, 1.004
